ALABAMA,,,,,,,
,,,,,,,
  Total,"1,506,009","354,918","478,471","284,277","237,174","99,577","51,592"
"Less than $5,000","159,594","90,974","29,968","17,169","11,515","5,702","4,266"
"$5,000 to $9,999","178,304","84,753","52,197","19,636","11,307","5,952","4,459"
"$10,000 to $12,499","87,687","28,920","31,201","12,628","8,321","3,967","2,650"
"$12,500 to $14,999","73,372","21,121","27,017","12,044","7,142","3,515","2,533"
"$15,000 to $17,499","80,452","21,027","28,331","14,234","9,432","4,442","2,986"
"$17,500 to $19,999","69,295","15,826","25,202","12,398","9,068","4,383","2,418"
"$20,000 to $22,499","77,582","16,760","27,048","14,434","11,558","4,973","2,809"
"$22,500 to $24,999","60,915","10,371","22,186","12,356","9,386","4,166","2,450"
"$25,000 to $27,499","68,890","12,198","23,477","13,894","11,906","4,883","2,532"
"$27,500 to $29,999","55,259","7,546","20,042","11,552","9,738","4,465","1,916"
"$30,000 to $32,499","66,054","10,139","21,451","13,753","13,277","5,067","2,367"
"$32,500 to $34,999","46,312","4,903","15,804","10,457","9,911","3,585","1,652"
"$35,000 to $37,499","52,327","5,291","16,857","12,454","11,456","4,456","1,813"
"$37,500 to $39,999","40,353","3,690","13,110","9,578","8,976","3,377","1,622"
"$40,000 to $42,499","46,500","4,241","14,451","11,438","10,287","4,372","1,711"
"$42,500 to $44,999","32,960","1,932","10,670","8,477","7,669","2,891","1,321"
"$45,000 to $47,499","34,693","2,420","10,442","8,896","8,300","3,175","1,460"
"$47,500 to $49,999","27,921","1,602","9,045","6,896","6,688","2,587","1,103"
"$50,000 to $54,999","53,863","3,037","16,479","13,166","13,707","5,413","2,061"
"$55,000 to $59,999","40,469","1,700","12,494","10,636","10,269","3,877","1,493"
"$60,000 to $74,499","74,358","2,892","23,328","19,228","19,311","6,776","2,823"
"$75,000 to $99,999","44,820","1,840","14,885","11,304","10,793","4,126","1,872"
"$100,000 to $124,999","15,298",662,"5,737","3,567","3,362","1,405",565
"$125,000 to $149,999","6,217",305,"2,378","1,424","1,113",737,260
"$150,000 or more","12,514",768,"4,671","2,658","2,682","1,285",450
Median (dollars),"23,597","10,150","24,559","30,326","33,998","31,648","26,210"
,,,,,,,
,,,,,,,
