CALIFORNIA,,,,,,,
,,,,,,,
  Total,"10,399,700","2,416,267","3,219,779","1,724,477","1,527,453","793,257","718,467"
"Less than $5,000","403,714","203,849","82,110","44,397","34,250","18,921","20,187"
"$5,000 to $9,999","793,789","456,380","147,322","85,125","55,978","26,382","22,602"
"$10,000 to $12,499","408,399","168,179","106,083","46,125","37,705","27,467","22,840"
"$12,500 to $14,999","363,356","121,614","118,658","43,672","33,776","20,892","24,744"
"$15,000 to $17,499","409,665","138,100","124,037","51,702","42,312","26,831","26,683"
"$17,500 to $19,999","364,656","112,524","112,970","48,516","39,878","24,121","26,647"
"$20,000 to $22,499","442,148","139,562","136,128","59,847","46,951","29,999","29,661"
"$22,500 to $24,999","360,051","98,068","118,502","51,025","40,185","25,473","26,798"
"$25,000 to $27,499","425,843","121,826","133,375","61,501","50,362","29,125","29,654"
"$27,500 to $29,999","336,327","80,832","111,629","52,474","41,391","24,222","25,779"
"$30,000 to $32,499","451,196","121,247","138,826","68,146","59,149","32,528","31,300"
"$32,500 to $34,999","316,867","61,800","107,972","52,064","44,672","24,489","25,870"
"$35,000 to $37,499","387,832","85,909","122,796","63,419","56,019","31,503","28,186"
"$37,500 to $39,999","294,080","51,551","99,660","50,258","44,554","24,357","23,700"
"$40,000 to $42,499","386,936","77,964","122,248","65,812","62,678","31,329","26,905"
"$42,500 to $44,999","265,837","36,967","89,877","48,635","45,462","22,721","22,175"
"$45,000 to $47,499","311,439","46,032","102,426","57,912","54,091","27,330","23,648"
"$47,500 to $49,999","242,023","28,939","81,016","46,624","44,167","21,805","19,472"
"$50,000 to $54,999","526,477","63,984","173,727","102,691","99,582","46,904","39,589"
"$55,000 to $59,999","416,669","35,816","141,788","86,925","81,238","38,101","32,801"
"$60,000 to $74,499","965,926","70,885","324,723","206,905","196,551","92,775","74,087"
"$75,000 to $99,999","792,419","44,904","266,744","176,275","167,009","74,661","62,826"
"$100,000 to $124,999","335,271","20,237","113,372","73,799","70,084","32,391","25,388"
"$125,000 to $149,999","140,613","8,274","49,957","29,797","27,918","13,320","11,347"
"$150,000 or more","258,167","20,824","93,833","50,831","51,491","25,610","15,578"
Median (dollars),"35,798","20,134","38,741","43,433","46,313","42,419","39,429"
