COLORADO,,,,,,,
,,,,,,,
  Total,"1,285,119","340,413","424,450","213,245","190,935","79,498","36,578"
"Less than $5,000","67,384","37,901","14,738","8,224","3,979","1,662",880
"$5,000 to $9,999","108,370","64,786","22,653","9,046","6,803","3,278","1,804"
"$10,000 to $12,499","62,779","28,811","18,576","7,044","4,781","2,195","1,372"
"$12,500 to $14,999","54,159","22,210","17,483","6,395","4,491","2,390","1,190"
"$15,000 to $17,499","62,295","24,507","20,168","7,565","5,886","2,731","1,438"
"$17,500 to $19,999","56,158","19,552","19,285","7,484","5,726","2,898","1,213"
"$20,000 to $22,499","64,977","22,096","21,827","8,905","7,057","3,412","1,680"
"$22,500 to $24,999","54,267","15,130","19,879","8,047","6,619","3,060","1,532"
"$25,000 to $27,499","59,657","16,652","21,095","9,363","7,457","3,542","1,548"
"$27,500 to $29,999","49,150","11,483","18,008","8,573","6,702","3,048","1,336"
"$30,000 to $32,499","60,126","14,962","20,106","10,155","9,415","3,795","1,693"
"$32,500 to $34,999","44,212","8,016","16,357","7,935","7,249","3,336","1,319"
"$35,000 to $37,499","49,067","9,238","17,084","9,280","8,544","3,423","1,498"
"$37,500 to $39,999","40,033","6,185","14,398","7,709","7,213","3,196","1,332"
"$40,000 to $42,499","47,203","7,392","16,143","8,812","9,877","3,465","1,514"
"$42,500 to $44,999","34,321","3,950","11,974","7,021","7,374","2,657","1,345"
"$45,000 to $47,499","37,278","4,038","13,298","7,805","7,969","2,860","1,308"
"$47,500 to $49,999","29,540","2,704","10,894","5,979","6,682","2,260","1,021"
"$50,000 to $54,999","58,337","5,648","20,851","12,362","12,583","4,874","2,019"
"$55,000 to $59,999","44,412","3,248","15,549","9,724","10,387","3,881","1,623"
"$60,000 to $74,499","91,036","5,651","32,898","20,779","20,631","7,631","3,446"
"$75,000 to $99,999","61,432","3,150","22,283","14,614","13,422","5,596","2,367"
"$100,000 to $124,999","23,048","1,217","8,761","5,192","4,925","1,768","1,185"
"$125,000 to $149,999","9,261",615,"3,551","2,126","1,766",925,278
"$150,000 or more","16,617","1,271","6,591","3,106","3,397","1,615",637
Median (dollars),"30,140","16,683","32,302","37,125","40,897","38,266","37,143"
